OBJECTID,canada_points,X,Y,bc_forst_carb,wc2_0_bio_10m_01,wc2_0_bio_10m_04,wc2_0_bio_10m_06,wc2_0_bio_10m_11,wc2_0_bio_10m_13,wc2_0_bio_10m_16
138,137,-124.283502184135060,48.771158539032754,,7.259708255529404,536.088731630051598,-4.301750183105469,1.100041627883911,397.000000000000000,1149.000000000000000
139,138,-132.409862580657489,59.393761023174505,,-2.217145817975203,956.477899640976261,-20.951749801635742,-13.892874876658121,65.000000000000000,188.000000000000000
140,139,-126.270622239574095,55.531173697197580,,1.118385511140029,884.144985703849443,-17.788999557495117,-10.023125012715658,62.000000000000000,176.000000000000000
141,140,-126.491720701008447,57.510986289362670,0.000000000000000,-1.877875044941902,983.924196280182173,-21.367750167846680,-14.101750214894613,76.000000000000000,199.000000000000000
142,141,-119.856806011978136,49.184519745720316,11.000000000000000,3.684531193226576,742.164019584398716,-11.478500366210938,-5.279208327333133,55.000000000000000,151.000000000000000
143,142,-125.948593367975832,57.192138160344868,60.000000000000000,-2.130083257953326,896.790555678607348,-19.442499160766602,-12.810166358947754,83.000000000000000,219.000000000000000
144,143,-122.135454386722728,58.046977457921834,39.000000000000000,0.368333424131076,1148.574944929851881,-22.488000869750977,-13.927208423614502,99.000000000000000,246.000000000000000
145,144,-131.854383758384756,57.643956721897716,,-0.608718742926916,795.655923094557465,-16.615249633789063,-10.055333455403646,166.000000000000000,447.000000000000000
146,145,-122.541655343233913,57.387119498699988,23.000000000000000,0.320562458286683,978.911972607638404,-18.857999801635742,-11.403500040372213,118.000000000000000,301.000000000000000
147,146,-120.119082188912188,50.140926525984924,,3.755427007873853,780.533694488616447,-13.067999839782715,-5.875166674455007,58.000000000000000,163.000000000000000
148,147,-125.429750079242922,56.713490584406898,11.000000000000000,-0.131624944508076,989.022880324592848,-21.100500106811523,-12.558166503906250,67.000000000000000,179.000000000000000
149,148,-123.398438954174082,51.218380643813560,,-0.654812553276618,650.053054931710790,-13.046250343322754,-8.127958377202352,83.000000000000000,242.000000000000000
150,149,-122.840494503074325,56.568674269483125,80.000000000000000,0.090239580875884,860.258520746452518,-16.326749801635742,-10.061416625976563,106.000000000000000,279.000000000000000
151,150,-115.248277404125943,49.716932566491955,120.000000000000000,2.097947899562617,818.979614801986372,-15.416000366210938,-7.973791658878326,84.000000000000000,217.000000000000000
152,151,-122.226127345210372,55.020259584501034,0.000000000000000,0.116770902027686,900.164825734466035,-17.973499298095703,-10.641124884287516,95.000000000000000,258.000000000000000
153,152,-126.233468358901035,58.496787477861517,,-2.045583302776019,1023.767472738108154,-22.061000823974609,-14.643458366394043,85.000000000000000,217.000000000000000
154,153,-124.311863224915612,56.202067165806625,115.000000000000000,1.629864678407709,971.666966412594547,-18.892000198364258,-10.792750040690104,68.000000000000000,185.000000000000000
155,154,-126.403269899258092,55.522774763612787,,-0.375843768318494,822.871623942829501,-17.350999832153320,-10.439291675885519,73.000000000000000,206.000000000000000
156,155,-124.398033023184979,52.675796378665353,59.000000000000000,0.845749977976084,771.603777256896478,-15.760000228881836,-8.781749963760376,60.000000000000000,164.000000000000000
157,156,-120.530129269531955,53.444748111360653,0.000000000000000,1.782322894781828,766.553124393267353,-14.144749641418457,-7.270833253860474,108.000000000000000,282.000000000000000
158,157,-128.863286966064663,58.195542931104939,,-2.787125111867984,898.404939415113517,-19.670499801635742,-13.345000187555948,77.000000000000000,222.000000000000000
159,158,-129.903942304556239,54.726780146484785,,3.743333299954732,582.550516879412612,-8.163249969482422,-2.952250043551127,315.000000000000000,858.000000000000000
160,159,-116.063809055641116,50.386901546370069,65.000000000000000,2.147843742122253,818.957968202058737,-14.975749969482422,-7.965791588028272,78.000000000000000,200.000000000000000
161,160,-123.501655027709177,59.069155601555238,35.000000000000000,-0.513500064611435,1181.883936239543573,-23.379749298095703,-15.157291730244955,111.000000000000000,273.000000000000000
162,161,-118.857566109544422,49.113315431070994,,5.750354086359342,850.954182973321281,-13.231749534606934,-4.892625013987224,55.000000000000000,144.000000000000000
163,162,-114.899188442777927,49.038417989085602,,2.054468765233954,807.005988863366724,-14.817999839782715,-7.809416741132736,91.000000000000000,243.000000000000000
164,163,-119.601715372618003,49.721791077433025,3.000000000000000,6.390677089492480,802.295330452897360,-11.198749542236328,-3.441124886274338,50.000000000000000,135.000000000000000
165,164,-126.662044856987649,51.495762543225638,,2.353114572664102,614.393558002328859,-9.449999809265137,-4.607791592677434,241.000000000000000,680.000000000000000
166,165,-122.050762699597314,49.262912517634476,242.000000000000000,6.964776767417789,576.258593949144483,-4.506366252899170,0.430592338244120,273.000000000000000,733.000000000000000
167,166,-121.281732869370558,58.739846293857248,91.000000000000000,-0.796187430620193,1332.498364983487818,-27.464000701904297,-17.932750225067139,86.000000000000000,211.000000000000000
168,167,-115.973769078629886,50.409338142052007,47.000000000000000,4.208708345890045,881.665165001780906,-15.461250305175781,-6.949416637420654,70.000000000000000,173.000000000000000
169,168,-122.976821015253563,53.257292302868976,326.000000000000000,3.963354175289472,877.260169738118520,-15.815999984741211,-7.262125074863434,68.000000000000000,181.000000000000000
170,169,-132.664529018245304,58.974345975987674,,-0.579364543159803,892.018409346487033,-18.498249053955078,-11.529291470845541,95.000000000000000,259.000000000000000
171,170,-124.830755164920092,50.748465910281361,236.000000000000000,2.405781261002024,638.182776873107059,-9.124750137329102,-4.782166630029678,153.000000000000000,416.000000000000000
